item_id,name,category,price
ITEM-101,무선 이어폰,전자기기,129000
ITEM-102,블루투스 스피커,전자기기,89000
ITEM-103,기계식 키보드,전자기기,115000
ITEM-104,무선 마우스,전자기기,42000
ITEM-105,27인치 모니터,전자기기,289000
ITEM-106,보조배터리 20000mAh,전자기기,49000
ITEM-107,스마트워치,전자기기,219000
ITEM-108,태블릿 거치대,전자기기,28000
ITEM-109,USB-C 허브,전자기기,39000
ITEM-110,웹캠,전자기기,67000
ITEM-111,노이즈캔슬링 헤드폰,전자기기,189000
ITEM-112,게이밍 마우스,전자기기,59000
ITEM-113,외장 SSD 1TB,전자기기,149000
ITEM-114,스마트폰 삼각대,전자기기,27000
ITEM-115,미니 빔프로젝터,전자기기,249000
ITEM-201,반팔 티셔츠,패션,29000
ITEM-202,맨투맨,패션,49000
ITEM-203,후드집업,패션,69000
ITEM-204,청바지,패션,59000
ITEM-205,슬랙스,패션,65000
ITEM-206,운동화,패션,119000
ITEM-207,샌들,패션,49000
ITEM-208,볼캡,패션,25000
ITEM-209,니트,패션,55000
ITEM-210,경량 패딩,패션,139000
ITEM-211,롱슬리브 티셔츠,패션,35000
ITEM-212,와이드 팬츠,패션,62000
ITEM-213,바람막이 자켓,패션,89000
ITEM-214,가죽 스니커즈,패션,135000
ITEM-215,크로스백,패션,54000
ITEM-301,닭가슴살 1kg,식품,15900
ITEM-302,단백질 음료 12입,식품,24900
ITEM-303,현미 4kg,식품,18900
ITEM-304,그릭요거트 4개입,식품,6900
ITEM-305,샐러드 믹스,식품,5900
ITEM-306,아몬드 500g,식품,12900
ITEM-307,바나나 1송이,식품,4900
ITEM-308,냉동 볶음밥 6입,식품,14800
ITEM-309,생수 2L 6개입,식품,3900
ITEM-310,커피 원두 500g,식품,17900
ITEM-311,프로틴바 12개입,식품,18900
ITEM-312,오트밀 1kg,식품,9900
ITEM-313,저당 시리얼,식품,12800
ITEM-314,냉동 블루베리 1kg,식품,15900
ITEM-315,두유 24팩,식품,18900
ITEM-401,요가매트,스포츠,28000
ITEM-402,덤벨 5kg 세트,스포츠,39000
ITEM-403,러닝화,스포츠,129000
ITEM-404,축구공,스포츠,32000
ITEM-405,농구공,스포츠,35000
ITEM-406,배드민턴 라켓 세트,스포츠,48000
ITEM-407,실내 자전거,스포츠,329000
ITEM-408,줄넘기,스포츠,12000
ITEM-409,손목 보호대,스포츠,15000
ITEM-410,운동용 물병,스포츠,18000
ITEM-411,폼롤러,스포츠,19000
ITEM-412,케틀벨 8kg,스포츠,43000
ITEM-413,등산 배낭 25L,스포츠,79000
ITEM-414,테니스 라켓,스포츠,99000
ITEM-415,헬스 장갑,스포츠,22000
ITEM-501,세탁세제 2L,생활용품,14900
ITEM-502,섬유유연제 2L,생활용품,13900
ITEM-503,물티슈 10팩,생활용품,17900
ITEM-504,주방세제,생활용품,4900
ITEM-505,칫솔 8개입,생활용품,9900
ITEM-506,치약 4개입,생활용품,12900
ITEM-507,샴푸 800ml,생활용품,15900
ITEM-508,바디워시 1000ml,생활용품,14900
ITEM-509,수납정리함,생활용품,22000
ITEM-510,휴지 30롤,생활용품,23900
ITEM-511,주방 수세미 10개입,생활용품,7900
ITEM-512,배수구 클리너,생활용품,6900
ITEM-513,의류 압축팩 8개입,생활용품,14900
ITEM-514,분리수거함,생활용품,32900
ITEM-515,디퓨저 200ml,생활용품,21000